AAAA-MM-DD HH:MM:SS, CARD_ID------, NAME-------, DNI--------
2024-11-13 03:57:46, 1040221682417, Desconocido, Desconocido
2024-11-13 03:57:50, 254304109433, María García, 87654321B
2024-11-13 03:57:53, 577413783394, Juan Perez, 12345678A
2024-11-13 11:53:55, 577413783394, Jose tarjeta, 31920487
2024-11-13 11:54:02, 254304109433, María García, 87654321B
2024-11-13 11:54:05, 1040221682417, pablo, 45632147
2024-11-13 13:29:23, 254304109433, Desconocido, Desconocido
2024-11-13 13:29:25, 577413783394, Jose Tarjeta, 45612378
2024-11-13 13:29:31, 1040221682417, Desconocido, Desconocido
2024-11-13 13:32:37, 254304109433, Desconocido, Desconocido
2024-11-13 13:32:40, 577413783394, Jose Tarjeta, 45612378
2024-11-13 13:32:54, 1040221682417, pablo verde, 45123698
2024-11-13 13:35:20, 577413783394, Jose Tarjeta, 45612378
2024-11-13 13:35:28, 254304109433, Desconocido, Desconocido
2024-11-13 13:35:31, 1040221682417, pablo verde, 45123698
2024-11-13 13:38:30, 254304109433, Desconocido, Desconocido
2024-11-13 13:41:37, 254304109433, Desconocido, Desconocido
2024-11-13 13:44:59, 254304109433, Desconocido, Desconocido
2024-11-13 13:45:02, 577413783394, Jose Tarjeta, 45612378
2024-11-13 13:46:02, 577413783394, Jose Tarjeta, 45612378
2024-11-13 13:46:05, 254304109433, Desconocido, Desconocido
2024-11-13 13:46:09, 1040221682417, pablo verde, 45123698
2024-11-13 13:48:09, 254304109433, Desconocido, Desconocido
2024-11-13 13:48:11, 577413783394, Jose Tarjeta, 45612378
2024-11-13 13:48:14, 1040221682417, pablo verde, 45123698
2024-11-13 14:06:15, 1040221682417, pablo verde, 45123698
2024-11-13 14:06:44, 254304109433, Desconocido, Desconocido
2024-11-13 14:06:57, 577413783394, Jose Tarjeta, 45612378
2024-11-13 14:21:38, 577413783394, Jose Tarjeta, 45612378
2024-11-13 14:21:45, 254304109433, Desconocido, Desconocido
2024-11-13 14:21:48, 1040221682417, Desconocido, Desconocido
2024-11-13 14:21:59, 577413783394, Jose Tarjeta, 45612378
2024-11-13 14:22:27, 577413783394, Jose Tarjeta, 45612378
2024-11-13 14:22:30, 254304109433, Desconocido, Desconocido
